,dealer_card,dealer_hand,dealer_final_hand,payroll_0,hand_0,init_move_0,payroll_1,hand_1,init_move_1,payroll_2,hand_2,init_move_2,payroll_3,hand_3,init_move_3,hand_earnings_0,hand_result_0,hand_earnings_1,hand_result_1,hand_earnings_2,hand_result_2,hand_earnings_3,hand_result_3
298,K,13,22,580.0,H15,H,295.0,H14,H,320.0,88,P,870.0,H18,S,10.0,W,-10.0,L,10.0,W,10.0,W
299,J,20,20,570.0,H12,H,285.0,H13,H,310.0,H19,S,860.0,H15,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
300,5,15,25,590.0,88,P,295.0,H15,S,320.0,H17,S,870.0,H15,S,20.0,W,10.0,W,10.0,W,10.0,W
301,K,16,17,600.0,H20,S,295.0,H11,D,335.0,S21,BLACKJACK,860.0,H5,H,10.0,W,0.0,P,15.0,W,-10.0,L
302,8,18,18,590.0,H13,H,315.0,H11,D,325.0,H14,H,870.0,H20,S,-10.0,L,20.0,W,-10.0,L,10.0,W
303,7,12,22,610.0,H10,D,335.0,H9,H,335.0,H14,H,890.0,H10,D,20.0,W,20.0,W,10.0,W,20.0,W
304,J,16,26,620.0,H17,S,345.0,H17,S,345.0,H19,S,880.0,H16,H,10.0,W,10.0,W,10.0,W,-10.0,L
305,A,21,,610.0,AA,,335.0,S14,,335.0,H17,,870.0,S15,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
306,2,4,24,620.0,H13,S,345.0,H16,S,345.0,H14,S,880.0,H17,S,10.0,W,10.0,W,10.0,W,10.0,W
307,K,18,18,630.0,KK,S,345.0,S15,H,355.0,H20,S,890.0,S15,H,10.0,W,0.0,P,10.0,W,10.0,W
308,8,13,24,620.0,H6,H,335.0,H16,H,365.0,H19,S,880.0,H9,H,-10.0,L,-10.0,L,10.0,W,-10.0,L
309,7,10,21,610.0,H19,S,325.0,H14,H,355.0,H15,H,870.0,H19,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
310,4,7,19,620.0,S20,S,335.0,S13,H,345.0,H18,S,860.0,H7,H,10.0,W,10.0,W,-10.0,L,-10.0,L
311,8,17,17,630.0,33,H,315.0,H11,D,355.0,H20,S,870.0,H16,H,10.0,W,-20.0,L,10.0,W,10.0,W
312,3,9,19,630.0,H19,S,305.0,H15,S,355.0,H19,S,870.0,H9,D,0.0,P,-10.0,L,0.0,P,0.0,P
313,T,20,20,620.0,H12,H,320.0,S21,BLACKJACK,355.0,H20,S,880.0,H14,H,-10.0,L,15.0,W,0.0,P,10.0,W
314,Q,20,20,610.0,H8,H,310.0,H14,H,345.0,H13,H,870.0,H12,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
315,7,18,18,630.0,H10,D,300.0,H7,H,335.0,H12,H,880.0,H9,H,20.0,W,-10.0,L,-10.0,L,10.0,W
316,5,15,20,630.0,H20,S,280.0,H10,D,355.0,S14,D,870.0,H12,S,0.0,P,-20.0,L,20.0,W,-10.0,L
317,K,20,20,620.0,H16,H,270.0,S14,H,335.0,H11,D,860.0,H12,H,-10.0,L,-10.0,L,-20.0,L,-10.0,L
318,6,11,21,610.0,H15,S,285.0,S21,BLACKJACK,315.0,H11,D,850.0,77,P,-10.0,L,15.0,W,-20.0,L,-10.0,L
319,A,13,23,620.0,H13,H,295.0,H15,H,325.0,H12,H,860.0,H8,H,10.0,W,10.0,W,10.0,W,10.0,W
320,8,14,24,630.0,H14,H,305.0,H19,S,335.0,H9,H,870.0,H17,S,10.0,W,10.0,W,10.0,W,10.0,W
321,4,14,24,640.0,S13,H,315.0,H17,S,345.0,H8,H,880.0,H20,S,10.0,W,10.0,W,10.0,W,10.0,W
322,6,15,18,630.0,H17,S,325.0,H19,S,355.0,H20,S,890.0,JJ,S,-10.0,L,10.0,W,10.0,W,10.0,W
323,Q,16,23,620.0,H15,H,315.0,H15,H,345.0,H15,H,900.0,H18,S,-10.0,L,-10.0,L,-10.0,L,10.0,W
324,Q,18,18,640.0,H9,H,325.0,H5,H,345.0,H13,H,900.0,H15,H,20.0,W,10.0,W,0.0,P,0.0,P
325,K,13,23,660.0,H11,D,335.0,H17,S,335.0,H13,H,915.0,S21,BLACKJACK,20.0,W,10.0,W,-10.0,L,15.0,W
326,A,15,19,670.0,H16,H,325.0,H18,S,325.0,H12,H,925.0,H20,S,10.0,W,-10.0,L,-10.0,L,10.0,W
327,9,14,21,660.0,H19,S,315.0,H18,S,315.0,H18,S,915.0,H17,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
328,5,15,25,680.0,H11,D,335.0,H9,D,330.0,S21,BLACKJACK,925.0,H12,S,20.0,W,20.0,W,15.0,W,10.0,W
329,J,18,18,690.0,H20,S,325.0,H14,H,330.0,99,S,935.0,KK,S,10.0,W,-10.0,L,0.0,P,10.0,W
330,5,12,17,670.0,H9,D,325.0,H7,H,310.0,S15,D,925.0,H12,S,-20.0,L,0.0,P,-20.0,L,-10.0,L
331,2,9,20,660.0,44,H,315.0,S18,S,300.0,H9,H,915.0,AA,P,-10.0,L,-10.0,L,-10.0,L,-10.0,L
332,A,21,,650.0,S21,,305.0,H12,,290.0,H20,,905.0,S17,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
333,6,16,22,660.0,H19,S,325.0,H11,D,300.0,H19,S,915.0,H18,S,10.0,W,20.0,W,10.0,W,10.0,W
334,7,13,23,670.0,H17,S,335.0,H18,S,310.0,S17,H,930.0,S21,BLACKJACK,10.0,W,10.0,W,10.0,W,15.0,W
335,2,9,20,660.0,H15,S,325.0,H18,S,300.0,H19,S,920.0,H14,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
336,8,11,20,650.0,H7,H,315.0,22,H,290.0,H12,H,910.0,H18,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
337,J,20,20,640.0,H13,H,315.0,H20,S,290.0,H20,S,900.0,H12,H,-10.0,L,0.0,P,0.0,P,-10.0,L
338,K,13,18,630.0,66,S,325.0,H9,H,280.0,H6,H,890.0,H10,H,-10.0,L,10.0,W,-10.0,L,-10.0,L
339,K,16,26,640.0,S19,S,335.0,99,S,290.0,H13,H,900.0,H13,H,10.0,W,10.0,W,10.0,W,10.0,W
340,7,13,21,630.0,33,P,325.0,H18,S,280.0,H15,H,890.0,H15,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
341,8,14,17,640.0,H20,S,325.0,H17,S,290.0,H9,H,900.0,JJ,S,10.0,W,0.0,P,10.0,W,10.0,W
342,8,12,22,650.0,H13,H,335.0,H20,S,300.0,H14,H,920.0,H11,D,10.0,W,10.0,W,10.0,W,20.0,W
