,dealer_card,dealer_hand,dealer_final_hand,payroll_0,hand_0,init_move_0,payroll_1,hand_1,init_move_1,payroll_2,hand_2,init_move_2,payroll_3,hand_3,init_move_3,hand_earnings_0,hand_result_0,hand_earnings_1,hand_result_1,hand_earnings_2,hand_result_2,hand_earnings_3,hand_result_3
0,NaN,NaN,NaN,500.0,NaN,NaN,500.0,NaN,NaN,500.0,NaN,NaN,500.0,NaN,NaN,,,,,,,,
1,T,17,17,510.0,H20,S,510.0,S20,S,510.0,S16,H,510.0,H14,H,10.0,W,10.0,W,10.0,W,10.0,W
2,2,11,24,520.0,99,P,520.0,H14,S,520.0,H14,S,520.0,H19,S,10.0,W,10.0,W,10.0,W,10.0,W
3,6,14,24,530.0,S20,S,530.0,H17,S,530.0,QQ,S,530.0,H12,S,10.0,W,10.0,W,10.0,W,10.0,W
4,2,6,21,520.0,H15,S,520.0,H15,S,520.0,S15,H,510.0,55,D,-10.0,L,-10.0,L,-10.0,L,-20.0,L
5,K,14,17,520.0,S17,H,530.0,H19,S,510.0,H15,H,510.0,H13,H,0.0,P,10.0,W,-10.0,L,0.0,P
6,K,15,21,510.0,H18,S,520.0,H15,H,500.0,H6,H,500.0,88,P,-10.0,L,-10.0,L,-10.0,L,-10.0,L
7,2,12,23,520.0,H18,S,530.0,H8,H,510.0,H13,S,510.0,H17,S,10.0,W,10.0,W,10.0,W,10.0,W
8,5,15,25,530.0,H19,S,540.0,H15,S,520.0,H13,S,520.0,H12,S,10.0,W,10.0,W,10.0,W,10.0,W
9,9,17,17,520.0,H14,H,520.0,H11,D,540.0,H11,D,500.0,H10,D,-10.0,L,-20.0,L,20.0,W,-20.0,L
10,K,20,20,510.0,H14,H,510.0,H8,H,530.0,S16,H,490.0,H16,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
11,A,21,,500.0,H9,,500.0,77,,520.0,H15,,480.0,H15,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
12,J,21,,490.0,H17,,490.0,H13,,510.0,H18,,470.0,H15,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
13,7,17,17,500.0,H14,H,490.0,H17,S,530.0,H10,D,460.0,H12,H,10.0,W,0.0,P,20.0,W,-10.0,L
14,A,13,18,500.0,H18,S,500.0,H11,H,540.0,H19,S,470.0,H12,H,0.0,P,10.0,W,10.0,W,10.0,W
15,2,5,26,510.0,H9,H,510.0,H13,S,550.0,AA,P,480.0,H20,S,10.0,W,10.0,W,10.0,W,10.0,W
16,8,13,23,530.0,H10,D,520.0,S17,H,540.0,H13,H,490.0,S20,S,20.0,W,10.0,W,-10.0,L,10.0,W
17,9,19,19,540.0,H12,H,510.0,S15,H,560.0,H11,D,500.0,H12,H,10.0,W,-10.0,L,20.0,W,10.0,W
18,7,11,21,530.0,H16,H,500.0,H18,S,550.0,S14,H,490.0,H9,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
19,7,12,22,540.0,H18,S,510.0,H13,H,570.0,H10,D,480.0,H16,H,10.0,W,10.0,W,20.0,W,-10.0,L
20,K,14,24,530.0,33,H,520.0,66,S,580.0,H9,H,490.0,H9,H,-10.0,L,10.0,W,10.0,W,10.0,W
21,A,12,19,520.0,H16,H,520.0,H19,S,570.0,H14,H,480.0,H14,H,-10.0,L,0.0,P,-10.0,L,-10.0,L
22,6,16,26,530.0,H19,S,530.0,H20,S,590.0,S17,D,490.0,H15,S,10.0,W,10.0,W,20.0,W,10.0,W
23,Q,17,17,540.0,H15,H,530.0,H17,S,580.0,H9,H,480.0,H16,H,10.0,W,0.0,P,-10.0,L,-10.0,L
24,Q,15,25,560.0,88,P,550.0,H11,D,590.0,H9,H,490.0,H20,S,20.0,W,20.0,W,10.0,W,10.0,W
25,Q,12,17,550.0,H14,H,550.0,H12,H,570.0,H11,D,490.0,H11,D,-10.0,L,0.0,P,-20.0,L,0.0,P
26,5,10,19,540.0,H13,S,540.0,H12,S,570.0,H19,S,510.0,S15,D,-10.0,L,-10.0,L,0.0,P,20.0,W
27,4,14,24,550.0,H12,S,550.0,H13,S,580.0,H12,S,520.0,44,H,10.0,W,10.0,W,10.0,W,10.0,W
28,5,9,20,550.0,QQ,S,540.0,H19,S,570.0,H14,S,535.0,S21,BLACKJACK,0.0,P,-10.0,L,-10.0,L,15.0,W
29,4,11,21,540.0,H20,S,530.0,H12,S,550.0,S17,D,525.0,H8,H,-10.0,L,-10.0,L,-20.0,L,-10.0,L
30,K,21,,530.0,H18,,520.0,H20,,540.0,H13,,515.0,H7,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
31,7,16,26,540.0,H12,H,530.0,H19,S,550.0,H13,H,505.0,H13,H,10.0,W,10.0,W,10.0,W,-10.0,L
32,J,20,20,540.0,H20,S,530.0,S18,H,550.0,H15,H,495.0,H13,H,0.0,P,0.0,P,0.0,P,-10.0,L
33,6,16,26,560.0,S15,D,540.0,H17,S,560.0,H17,S,505.0,H20,S,20.0,W,10.0,W,10.0,W,10.0,W
34,8,10,26,570.0,H18,S,550.0,S14,H,550.0,H14,H,495.0,H15,H,10.0,W,10.0,W,-10.0,L,-10.0,L
35,Q,19,19,580.0,S18,H,540.0,H13,H,560.0,H10,H,505.0,QQ,S,10.0,W,-10.0,L,10.0,W,10.0,W
36,3,9,22,600.0,H9,D,550.0,H17,S,570.0,S20,S,515.0,S14,H,20.0,W,10.0,W,10.0,W,10.0,W
37,6,15,24,610.0,H16,S,560.0,H15,S,580.0,H12,S,535.0,H9,D,10.0,W,10.0,W,10.0,W,20.0,W
38,A,15,25,600.0,H16,H,550.0,H15,H,570.0,22,H,545.0,H13,H,-10.0,L,-10.0,L,-10.0,L,10.0,W
39,2,4,26,610.0,S19,S,560.0,H12,H,580.0,H19,S,555.0,H17,S,10.0,W,10.0,W,10.0,W,10.0,W
40,8,18,18,600.0,H14,H,540.0,H10,D,580.0,H18,S,555.0,H16,H,-10.0,L,-20.0,L,0.0,P,0.0,P
41,J,17,17,590.0,H12,H,530.0,33,H,590.0,QQ,S,565.0,H15,H,-10.0,L,-10.0,L,10.0,W,10.0,W
42,T,20,20,580.0,H19,S,530.0,H20,S,580.0,H16,H,580.0,S21,BLACKJACK,-10.0,L,0.0,P,-10.0,L,15.0,W
43,5,12,21,560.0,H8,H,520.0,H16,S,570.0,H13,S,570.0,H18,S,-20.0,L,-10.0,L,-10.0,L,-10.0,L
44,3,14,21,540.0,AA,P,510.0,H17,S,560.0,H13,S,560.0,H15,S,-20.0,L,-10.0,L,-10.0,L,-10.0,L
45,9,20,20,540.0,H20,S,500.0,H17,S,540.0,H8,H,550.0,H18,S,0.0,P,-10.0,L,-20.0,L,-10.0,L
46,A,13,17,530.0,H16,H,510.0,S18,H,530.0,H15,H,550.0,H13,H,-10.0,L,10.0,W,-10.0,L,0.0,P
47,7,18,18,520.0,H12,H,520.0,H19,S,520.0,H8,H,540.0,H14,H,-10.0,L,10.0,W,-10.0,L,-10.0,L
48,3,8,20,520.0,S20,S,510.0,H17,S,510.0,H16,S,520.0,S18,D,0.0,P,-10.0,L,-10.0,L,-20.0,L
49,4,8,18,510.0,H6,H,490.0,77,P,500.0,H17,S,535.0,S21,BLACKJACK,-10.0,L,-20.0,L,-10.0,L,15.0,W
50,9,14,22,500.0,H6,H,480.0,H8,H,490.0,99,P,545.0,H17,S,-10.0,L,-10.0,L,-10.0,L,10.0,W
51,J,20,20,490.0,H19,S,470.0,S15,H,490.0,H11,D,535.0,H13,H,-10.0,L,-10.0,L,0.0,P,-10.0,L
52,7,13,22,500.0,S20,S,480.0,H13,H,480.0,H15,H,525.0,H15,H,10.0,W,10.0,W,-10.0,L,-10.0,L
53,Q,16,25,510.0,H15,H,495.0,S21,BLACKJACK,490.0,H12,H,515.0,H13,H,10.0,W,15.0,W,10.0,W,-10.0,L
54,2,12,19,500.0,H18,S,485.0,H12,H,490.0,H19,S,505.0,H14,S,-10.0,L,-10.0,L,0.0,P,-10.0,L
55,2,12,21,490.0,H12,H,475.0,33,P,480.0,22,P,520.0,S21,BLACKJACK,-10.0,L,-10.0,L,-10.0,L,15.0,W
56,6,8,18,500.0,TT,S,465.0,H12,S,470.0,H15,S,510.0,H14,S,10.0,W,-10.0,L,-10.0,L,-10.0,L
57,Q,20,20,500.0,KK,S,480.0,S21,BLACKJACK,470.0,H20,S,500.0,H8,H,0.0,P,15.0,W,0.0,P,-10.0,L
58,3,14,18,490.0,H17,S,480.0,S15,H,480.0,JJ,S,500.0,H18,S,-10.0,L,0.0,P,10.0,W,0.0,P
59,K,20,20,505.0,S21,BLACKJACK,470.0,H18,S,480.0,H12,H,490.0,H13,H,15.0,W,-10.0,L,0.0,P,-10.0,L
60,9,17,17,515.0,H19,S,480.0,H16,H,490.0,TT,S,500.0,H14,H,10.0,W,10.0,W,10.0,W,10.0,W
61,2,13,22,525.0,H13,S,495.0,S21,BLACKJACK,500.0,H15,S,510.0,H5,H,10.0,W,15.0,W,10.0,W,10.0,W
62,8,11,21,515.0,H18,S,485.0,H13,H,515.0,S21,BLACKJACK,500.0,H19,S,-10.0,L,-10.0,L,15.0,W,-10.0,L
63,A,13,20,505.0,H5,H,475.0,H15,H,505.0,H5,H,510.0,S16,H,-10.0,L,-10.0,L,-10.0,L,10.0,W
64,J,14,17,505.0,H17,S,485.0,S18,H,495.0,H12,H,520.0,S19,S,0.0,P,10.0,W,-10.0,L,10.0,W
65,A,21,,495.0,S19,,475.0,H11,,485.0,H16,,510.0,H8,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
66,J,20,20,485.0,H5,H,465.0,H9,H,475.0,H9,H,500.0,H16,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
67,K,20,20,485.0,H20,S,455.0,H14,H,485.0,S13,H,490.0,S18,H,0.0,P,-10.0,L,10.0,W,-10.0,L
68,3,13,23,495.0,S19,S,465.0,H13,S,505.0,H11,D,500.0,22,P,10.0,W,10.0,W,20.0,W,10.0,W
69,A,17,17,505.0,H14,H,475.0,H18,S,495.0,H15,H,500.0,H7,H,10.0,W,10.0,W,-10.0,L,0.0,P
70,7,13,23,515.0,H14,H,465.0,H15,H,485.0,H12,H,520.0,H10,D,10.0,W,-10.0,L,-10.0,L,20.0,W
71,6,16,25,525.0,H14,S,475.0,H16,S,495.0,H12,S,530.0,H13,S,10.0,W,10.0,W,10.0,W,10.0,W
72,5,11,20,515.0,H14,S,495.0,H11,D,485.0,H16,S,520.0,H13,S,-10.0,L,20.0,W,-10.0,L,-10.0,L
73,Q,21,,505.0,S15,,485.0,H16,,475.0,H11,,510.0,66,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
74,9,19,19,515.0,TT,S,485.0,H15,H,465.0,H16,H,500.0,H17,S,10.0,W,0.0,P,-10.0,L,-10.0,L
75,Q,20,20,525.0,H14,H,495.0,44,H,455.0,H18,S,500.0,H8,H,10.0,W,10.0,W,-10.0,L,0.0,P
76,6,16,26,535.0,H14,S,505.0,H19,S,465.0,H14,S,510.0,H7,H,10.0,W,10.0,W,10.0,W,10.0,W
77,J,20,20,525.0,H15,H,505.0,H20,S,465.0,H20,S,500.0,H5,H,-10.0,L,0.0,P,0.0,P,-10.0,L
78,K,13,20,525.0,H14,H,495.0,S19,S,480.0,S21,BLACKJACK,490.0,H12,H,0.0,P,-10.0,L,15.0,W,-10.0,L
79,T,20,20,525.0,H14,H,485.0,H8,H,470.0,H7,H,480.0,H19,S,0.0,P,-10.0,L,-10.0,L,-10.0,L
80,7,17,17,535.0,S19,S,485.0,H17,S,470.0,H10,D,480.0,H7,H,10.0,W,0.0,P,0.0,P,0.0,P
81,K,20,20,535.0,H11,D,475.0,H13,H,460.0,S19,S,490.0,H13,H,0.0,P,-10.0,L,-10.0,L,10.0,W
82,T,20,20,525.0,H19,S,465.0,H12,H,450.0,H13,H,480.0,H16,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
83,6,8,18,525.0,H18,S,455.0,H13,S,440.0,H16,S,490.0,H20,S,0.0,P,-10.0,L,-10.0,L,10.0,W
84,8,17,17,525.0,H17,S,470.0,S21,BLACKJACK,430.0,H15,H,500.0,H13,H,0.0,P,15.0,W,-10.0,L,10.0,W
85,3,8,18,545.0,H8,H,460.0,H17,S,450.0,H11,D,490.0,H14,S,20.0,W,-10.0,L,20.0,W,-10.0,L
86,K,20,20,535.0,H19,S,450.0,H13,H,440.0,H12,H,490.0,KK,S,-10.0,L,-10.0,L,-10.0,L,0.0,P
87,7,17,17,545.0,H18,S,450.0,H17,S,430.0,H14,H,500.0,H20,S,10.0,W,0.0,P,-10.0,L,10.0,W
88,J,21,,535.0,H7,,440.0,H12,,420.0,S21,,490.0,H18,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
89,4,14,19,525.0,H13,S,430.0,H15,S,410.0,H15,S,480.0,H18,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
90,Q,21,,515.0,H20,,420.0,H17,,400.0,99,,470.0,H12,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
91,6,9,19,505.0,H14,S,410.0,H12,S,390.0,H12,S,460.0,H7,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
92,5,14,24,515.0,H19,S,420.0,S20,S,410.0,H11,D,620.0,AA,P,10.0,W,10.0,W,20.0,W,160.0,W
93,9,19,19,505.0,H12,H,420.0,H14,H,420.0,H13,H,620.0,S19,S,-10.0,L,0.0,P,10.0,W,0.0,P
94,6,11,18,495.0,H12,S,410.0,H13,S,400.0,H9,D,630.0,H19,S,-10.0,L,-10.0,L,-20.0,L,10.0,W
95,8,16,23,505.0,H18,S,400.0,H12,H,420.0,H10,D,620.0,H13,H,10.0,W,-10.0,L,20.0,W,-10.0,L
96,8,18,18,515.0,H19,S,400.0,H18,S,400.0,H7,H,600.0,H10,D,10.0,W,0.0,P,-20.0,L,-20.0,L
97,6,14,22,525.0,H15,S,420.0,S16,D,410.0,H8,H,610.0,H17,S,10.0,W,20.0,W,10.0,W,10.0,W
98,A,15,20,515.0,H9,H,410.0,S18,H,400.0,H17,S,610.0,JJ,S,-10.0,L,-10.0,L,-10.0,L,0.0,P
99,6,8,19,505.0,H13,S,400.0,H12,S,390.0,H12,S,600.0,H16,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
100,T,12,24,515.0,S17,H,410.0,AA,P,400.0,H9,H,590.0,S18,H,10.0,W,10.0,W,10.0,W,-10.0,L
101,J,18,18,505.0,H12,H,420.0,H14,H,410.0,H19,S,600.0,H10,H,-10.0,L,10.0,W,10.0,W,10.0,W
102,A,21,,495.0,S16,,410.0,H19,,400.0,TT,,590.0,TT,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
103,4,10,17,485.0,H13,S,430.0,H11,D,420.0,S15,D,600.0,H18,S,-10.0,L,20.0,W,20.0,W,10.0,W
104,7,13,20,465.0,88,P,420.0,H14,H,410.0,H17,S,590.0,H12,H,-20.0,L,-10.0,L,-10.0,L,-10.0,L
105,Q,12,17,465.0,H14,H,430.0,H18,S,420.0,H19,S,600.0,H18,S,0.0,P,10.0,W,10.0,W,10.0,W
106,4,13,23,485.0,H11,D,440.0,H12,S,430.0,H15,S,610.0,H14,S,20.0,W,10.0,W,10.0,W,10.0,W
107,6,13,23,495.0,H12,S,450.0,H13,S,440.0,H15,S,620.0,H20,S,10.0,W,10.0,W,10.0,W,10.0,W
108,2,12,20,485.0,H19,S,440.0,H15,S,420.0,H5,H,610.0,H16,S,-10.0,L,-10.0,L,-20.0,L,-10.0,L
109,A,17,17,495.0,H16,H,450.0,H14,H,410.0,H15,H,620.0,S20,S,10.0,W,10.0,W,-10.0,L,10.0,W
110,T,16,17,505.0,AA,P,460.0,H18,S,420.0,H13,H,610.0,H15,H,10.0,W,10.0,W,10.0,W,-10.0,L
111,A,14,23,515.0,H14,H,470.0,H9,H,410.0,H7,H,600.0,H13,H,10.0,W,10.0,W,-10.0,L,-10.0,L
112,4,9,19,495.0,S17,D,470.0,H19,S,400.0,H12,S,590.0,H13,S,-20.0,L,0.0,P,-10.0,L,-10.0,L
113,J,19,19,485.0,H13,H,450.0,H11,D,390.0,H16,H,600.0,H7,H,-10.0,L,-20.0,L,-10.0,L,10.0,W
114,Q,17,17,495.0,S20,S,460.0,H16,H,400.0,H10,H,590.0,H13,H,10.0,W,10.0,W,10.0,W,-10.0,L
115,6,16,19,485.0,H14,S,440.0,S13,D,380.0,44,P,580.0,H13,S,-10.0,L,-20.0,L,-20.0,L,-10.0,L
116,Q,14,18,475.0,H16,H,430.0,H5,H,370.0,H15,H,590.0,H12,H,-10.0,L,-10.0,L,-10.0,L,10.0,W
117,T,14,21,490.0,S21,BLACKJACK,420.0,H18,S,360.0,H14,H,580.0,H13,H,15.0,W,-10.0,L,-10.0,L,-10.0,L
118,4,14,20,480.0,H19,S,400.0,S17,D,350.0,H8,H,560.0,55,D,-10.0,L,-20.0,L,-10.0,L,-20.0,L
119,5,15,25,490.0,H17,S,410.0,H7,H,370.0,S14,D,570.0,S20,S,10.0,W,10.0,W,20.0,W,10.0,W
120,5,16,26,505.0,S21,BLACKJACK,420.0,H15,S,380.0,H15,S,580.0,H20,S,15.0,W,10.0,W,10.0,W,10.0,W
121,7,11,20,505.0,S20,S,410.0,H12,H,360.0,H10,D,580.0,H10,D,0.0,P,-10.0,L,-20.0,L,0.0,P
122,9,17,17,515.0,H20,S,400.0,H14,H,370.0,H12,H,590.0,AA,P,10.0,W,-10.0,L,10.0,W,10.0,W
123,6,12,22,525.0,H13,S,410.0,H15,S,390.0,S16,D,600.0,H13,S,10.0,W,10.0,W,20.0,W,10.0,W
124,A,13,19,515.0,H15,H,410.0,H19,S,380.0,H11,H,610.0,H14,H,-10.0,L,0.0,P,-10.0,L,10.0,W
125,K,20,20,505.0,55,S,400.0,S14,H,380.0,H20,S,610.0,H12,H,-10.0,L,-10.0,L,0.0,P,0.0,P
126,T,20,20,495.0,H13,H,390.0,22,H,370.0,H19,S,600.0,H13,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
127,Q,15,20,485.0,S15,H,380.0,H18,S,370.0,H20,S,590.0,H13,H,-10.0,L,-10.0,L,0.0,P,-10.0,L
128,5,13,24,505.0,H7,H,400.0,S16,D,390.0,H11,D,605.0,S21,BLACKJACK,20.0,W,20.0,W,20.0,W,15.0,W
129,Q,12,21,495.0,S19,S,390.0,77,H,380.0,H18,S,595.0,H12,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
130,6,17,17,475.0,H5,H,380.0,H14,S,390.0,JJ,S,595.0,H8,H,-20.0,L,-10.0,L,10.0,W,0.0,P
131,4,12,22,485.0,H18,S,390.0,H19,S,400.0,H15,S,615.0,H10,D,10.0,W,10.0,W,10.0,W,20.0,W
132,4,8,18,495.0,JJ,S,380.0,H12,S,380.0,H11,D,605.0,H12,S,10.0,W,-10.0,L,-20.0,L,-10.0,L
133,A,21,,485.0,H14,,370.0,H16,,370.0,H12,,595.0,H11,,-10.0,L,-10.0,L,-10.0,L,-10.0,L
134,K,15,17,495.0,H12,H,360.0,H12,H,380.0,H13,H,595.0,H9,H,10.0,W,-10.0,L,10.0,W,0.0,P
135,5,8,23,505.0,H17,S,380.0,S14,D,400.0,H10,D,605.0,H20,S,10.0,W,20.0,W,20.0,W,10.0,W
136,5,14,24,545.0,77,P,390.0,H15,S,420.0,H11,D,615.0,H16,S,40.0,W,10.0,W,20.0,W,10.0,W
137,4,7,18,535.0,66,P,380.0,H13,S,410.0,H14,S,625.0,H19,S,-10.0,L,-10.0,L,-10.0,L,10.0,W
138,9,14,24,545.0,H14,H,370.0,H16,H,400.0,H13,H,635.0,H15,H,10.0,W,-10.0,L,-10.0,L,10.0,W
139,3,10,21,535.0,S13,H,360.0,H14,S,390.0,66,P,625.0,H15,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
140,7,13,23,545.0,H20,S,370.0,H19,S,380.0,H12,H,635.0,H16,H,10.0,W,10.0,W,-10.0,L,10.0,W
141,J,20,20,555.0,H7,H,360.0,H19,S,380.0,H20,S,635.0,H13,H,10.0,W,-10.0,L,0.0,P,0.0,P
142,7,10,18,545.0,H16,H,350.0,22,P,370.0,H15,H,645.0,H20,S,-10.0,L,-10.0,L,-10.0,L,10.0,W
143,5,9,19,535.0,H15,S,340.0,H18,S,370.0,H10,D,635.0,H15,S,-10.0,L,-10.0,L,0.0,P,-10.0,L
144,5,10,19,525.0,H15,S,360.0,H10,D,360.0,H13,S,625.0,H14,S,-10.0,L,20.0,W,-10.0,L,-10.0,L
145,2,4,19,515.0,H9,H,350.0,H12,H,350.0,H16,S,615.0,H15,S,-10.0,L,-10.0,L,-10.0,L,-10.0,L
146,9,13,20,530.0,S21,BLACKJACK,340.0,H15,H,340.0,H12,H,605.0,22,H,15.0,W,-10.0,L,-10.0,L,-10.0,L
147,J,15,25,520.0,H6,H,350.0,H14,H,330.0,H15,H,615.0,H17,S,-10.0,L,10.0,W,-10.0,L,10.0,W
148,8,10,17,530.0,S15,H,360.0,H19,S,330.0,H17,S,630.0,S21,BLACKJACK,10.0,W,10.0,W,0.0,P,15.0,W
149,4,13,24,540.0,H12,S,370.0,H17,S,345.0,S21,BLACKJACK,650.0,33,P,10.0,W,10.0,W,15.0,W,20.0,W
150,3,13,22,560.0,H8,H,380.0,H18,S,355.0,H13,S,660.0,H6,H,20.0,W,10.0,W,10.0,W,10.0,W
151,3,8,18,570.0,H20,S,370.0,H16,S,365.0,QQ,S,670.0,KK,S,10.0,W,-10.0,L,10.0,W,10.0,W
152,Q,20,20,570.0,H20,S,360.0,H15,H,355.0,H10,H,660.0,H10,H,0.0,P,-10.0,L,-10.0,L,-10.0,L
153,2,13,22,580.0,JJ,S,370.0,H7,H,365.0,S16,H,670.0,S18,S,10.0,W,10.0,W,10.0,W,10.0,W
154,A,14,18,590.0,H20,S,380.0,H16,H,365.0,H18,S,660.0,S14,H,10.0,W,10.0,W,0.0,P,-10.0,L
155,A,12,19,590.0,H19,S,370.0,H15,H,355.0,66,S,650.0,H13,H,0.0,P,-10.0,L,-10.0,L,-10.0,L
156,9,16,26,600.0,H19,S,360.0,H15,H,345.0,H12,H,660.0,H13,H,10.0,W,-10.0,L,-10.0,L,10.0,W
157,8,18,18,610.0,KK,S,360.0,H7,H,355.0,JJ,S,670.0,S19,S,10.0,W,0.0,P,10.0,W,10.0,W
158,K,13,23,600.0,H16,H,350.0,S13,H,365.0,KK,S,680.0,H9,H,-10.0,L,-10.0,L,10.0,W,10.0,W
159,K,17,17,610.0,H16,H,340.0,H13,H,375.0,77,H,690.0,H13,H,10.0,W,-10.0,L,10.0,W,10.0,W
160,6,13,17,620.0,H20,S,355.0,S21,BLACKJACK,385.0,H20,S,700.0,H20,S,10.0,W,15.0,W,10.0,W,10.0,W
161,3,14,20,610.0,S19,S,335.0,H10,D,375.0,H15,S,690.0,H19,S,-10.0,L,-20.0,L,-10.0,L,-10.0,L
162,J,19,19,620.0,H20,S,325.0,H16,H,365.0,H6,H,680.0,55,S,10.0,W,-10.0,L,-10.0,L,-10.0,L
163,8,18,18,630.0,H20,S,340.0,S21,BLACKJACK,375.0,H19,S,670.0,H17,S,10.0,W,15.0,W,10.0,W,-10.0,L
164,2,12,26,645.0,S21,BLACKJACK,360.0,22,P,385.0,H8,H,680.0,H15,S,15.0,W,20.0,W,10.0,W,10.0,W
165,9,19,19,655.0,H8,H,380.0,H11,D,375.0,H16,H,690.0,H20,S,10.0,W,20.0,W,-10.0,L,10.0,W
166,6,14,24,665.0,H17,S,390.0,H16,S,385.0,H12,S,705.0,S21,BLACKJACK,10.0,W,10.0,W,10.0,W,15.0,W
167,4,9,18,655.0,H17,S,405.0,S21,BLACKJACK,405.0,S15,D,695.0,H7,H,-10.0,L,15.0,W,20.0,W,-10.0,L
168,2,7,17,645.0,H7,H,405.0,H17,S,415.0,QQ,S,685.0,H14,S,-10.0,L,0.0,P,10.0,W,-10.0,L
169,A,14,19,645.0,H15,H,395.0,H16,H,415.0,S19,S,675.0,55,S,0.0,P,-10.0,L,0.0,P,-10.0,L
170,K,19,19,645.0,H8,H,385.0,H18,S,405.0,H13,H,665.0,H13,H,0.0,P,-10.0,L,-10.0,L,-10.0,L
171,3,6,21,635.0,H16,S,375.0,H19,S,385.0,H11,D,655.0,JJ,S,-10.0,L,-10.0,L,-20.0,L,-10.0,L
172,T,20,20,625.0,22,H,365.0,H17,S,385.0,S20,S,670.0,S21,BLACKJACK,-10.0,L,-10.0,L,0.0,P,15.0,W
173,Q,20,20,615.0,H18,S,365.0,H20,S,375.0,H12,H,660.0,S16,H,-10.0,L,0.0,P,-10.0,L,-10.0,L
174,Q,20,20,605.0,H13,H,355.0,S15,H,365.0,H14,H,650.0,H16,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
175,J,19,19,595.0,H18,S,345.0,H13,H,355.0,H6,H,650.0,S19,S,-10.0,L,-10.0,L,-10.0,L,0.0,P
176,9,15,19,595.0,H19,S,335.0,H15,H,345.0,H16,H,660.0,H12,H,0.0,P,-10.0,L,-10.0,L,10.0,W
177,9,20,20,585.0,S16,H,325.0,77,H,335.0,H17,S,650.0,H16,H,-10.0,L,-10.0,L,-10.0,L,-10.0,L
178,6,10,20,585.0,H5,H,315.0,H15,S,315.0,S14,D,650.0,H20,S,0.0,P,-10.0,L,-20.0,L,0.0,P
179,5,16,23,595.0,H13,S,335.0,H9,D,325.0,H20,S,660.0,S19,S,10.0,W,20.0,W,10.0,W,10.0,W
180,8,18,18,575.0,H10,D,335.0,H18,S,315.0,H12,H,660.0,H12,H,-20.0,L,0.0,P,-10.0,L,0.0,P
181,K,20,20,565.0,H12,H,325.0,H19,S,305.0,H13,H,660.0,H11,D,-10.0,L,-10.0,L,-10.0,L,0.0,P
182,8,18,18,555.0,H15,H,315.0,H15,H,320.0,S21,BLACKJACK,670.0,H14,H,-10.0,L,-10.0,L,15.0,W,10.0,W
183,9,17,17,555.0,H11,D,315.0,H14,H,300.0,H10,D,680.0,H15,H,0.0,P,0.0,P,-20.0,L,10.0,W
184,J,14,23,545.0,H13,H,325.0,H14,H,310.0,H7,H,700.0,H11,D,-10.0,L,10.0,W,10.0,W,20.0,W
185,K,15,25,555.0,H14,H,335.0,S16,H,320.0,H12,H,710.0,H12,H,10.0,W,10.0,W,10.0,W,10.0,W
186,9,18,18,545.0,H17,S,325.0,H12,H,300.0,H11,D,700.0,H17,S,-10.0,L,-10.0,L,-20.0,L,-10.0,L
187,6,16,26,565.0,S17,D,335.0,H14,S,315.0,S21,BLACKJACK,710.0,H20,S,20.0,W,10.0,W,15.0,W,10.0,W
188,8,19,19,555.0,H16,H,325.0,H16,H,295.0,H11,D,720.0,H20,S,-10.0,L,-10.0,L,-20.0,L,10.0,W
189,9,11,23,565.0,H17,S,335.0,77,H,305.0,H7,H,710.0,H12,H,10.0,W,10.0,W,10.0,W,-10.0,L
190,9,20,20,575.0,H13,H,315.0,H10,D,295.0,H15,H,720.0,H15,H,10.0,W,-20.0,L,-10.0,L,10.0,W
191,4,12,22,615.0,AA,P,325.0,H17,S,315.0,H10,D,730.0,H13,S,40.0,W,10.0,W,20.0,W,10.0,W
192,3,11,24,625.0,H19,S,335.0,H19,S,325.0,H12,H,745.0,S21,BLACKJACK,10.0,W,10.0,W,10.0,W,15.0,W
193,4,12,22,640.0,S21,BLACKJACK,345.0,H15,S,335.0,H15,S,755.0,H12,S,15.0,W,10.0,W,10.0,W,10.0,W
194,6,16,21,620.0,H9,D,335.0,H12,S,315.0,S17,D,755.0,S14,D,-20.0,L,-10.0,L,-20.0,L,0.0,P
195,T,20,20,600.0,88,P,325.0,H10,H,305.0,H16,H,745.0,H17,S,-20.0,L,-10.0,L,-10.0,L,-10.0,L
